1586899459,6.7,51.1,1009,465,0.00
1586902795,6.8,56.4,1007,471,0.00
1586903060,6.0,54.0,1004,484,0.00
1586906396,5.8,60.7,1007,522,0.00
1586906663,5.3,61.5,1008,515,0.00
1586909998,5.3,68.6,1008,504,0.00
1586910265,3.6,67.3,1008,506,0.00
1586913599,4.0,69.4,1010,508,0.00
1586913866,3.8,71.8,1010,505,0.00
1586917200,3.4,72.2,1005,534,0.00
1586917467,3.5,72.7,1003,484,0.00
1586920801,3.3,71.9,1011,484,0.00
1586921068,3.2,72.0,1010,514,0.00
1586924402,3.4,72.8,1009,489,0.00
1586924669,2.8,75.3,1006,539,10.00
1586928003,2.7,78.7,1023,497,16.67
1586928270,2.2,78.8,1021,541,248.33
1586931605,2.2,77.2,1019,503,285.83
1586931874,2.9,78.2,1019,504,1030.00
1586935206,2.9,68.9,1022,525,1080.83
1586935478,4.9,67.3,1022,527,1013.33
1586936072,5.1,67.6,1022,418,957.50
1586936084,5.2,67.8,1023,442,912.50
1586939685,7.2,58.5,1021,475,1058.33
1586939694,7.2,58.1,1022,463,1062.50
1586940843,8.0,48.6,1023,430,1157.50
1586940869,8.1,47.2,1023,454,1178.33
1586940985,8.2,46.6,1022,431,1165.00
1586941058,8.2,44.3,1023,473,1176.67
1586941105,8.3,43.2,1023,439,1151.67
